word,pinyin,tones,tone_pattern,thai
后年,hòunián,4,4,ปีมะรืน
后天,hòutiān,4,4,มะรืนนี้
护照,hùzhào,4,4,พาสปอร์ต
花园,huāyuán,1,1,สวนดอกไม้
画家,huàjiā,4,4,จิตรกร
欢迎,huānyíng,1,1,ยินดีต้อนรับ
还,huán,2,2,คืน(ของ)
环境,huánjìng,2,2,สิ่งแวดล้อม
换,huàn,4,4,เปลี่ยน/แลก
黄色,huángsè,2,2,สีเหลือง
回答,huídá,2,2,ตอบ
会,huì,4,4,การประชุม
会议,huìyì,4,4,การประชุม
或,huò,4,4,หรือ
或者,huòzhě,4,4,หรือว่า
鸡,jī,1,1,ไก่
几乎,jīhū,1,1,เกือบจะ
机会,jīhuì,1,1,โอกาส
极,jí,2,2,ที่สุด/อย่างยิ่ง
急,jí,2,2,รีบร้อน/ด่วน
记,jì,4,4,จำ/จด
季,jì,4,4,ฤดู
季节,jìjié,4,4,ฤดูกาล
加,jiā,1,1,เพิ่ม/บวก
假期,jiàqī,4,4,วันหยุด
坚持,jiānchí,1,1,ยืนหยัด
检查,jiǎnchá,3,3,ตรวจสอบ
简单,jiǎndān,3,3,ง่าย
检票,jiǎnpiào,3,3,ตรวจตั๋ว
健康,jiànkāng,4,4,แข็งแรง/สุขภาพ
见面,jiànmiàn,4,4,เจอหน้า/พบกัน
讲,jiǎng,3,3,พูด/เล่า/อธิบาย
角,jiǎo,3,3,มุม/เจี่ยว(หน่วยเงิน)
脚,jiǎo,3,3,เท้า
接,jiē,1,1,รับ
街,jiē,1,1,ถนน
节,jié,2,2,เทศกาล/คาบ(ลักษณนาม)
结婚,jiéhūn,2,2,แต่งงาน
节目,jiémù,2,2,รายการ
节日,jiérì,2,2,เทศกาล
结束,jiéshù,2,2,สิ้นสุด/จบ
解决,jiějué,3,3,แก้ไขปัญหา
姐妹,jiěmèi,3,3,พี่น้อง(ผู้หญิง)
借,jiè,4,4,ยืม
斤,jīn,1,1,ครึ่งกิโลกรัม
经过,jīngguò,1,1,ผ่าน/กระบวนการ
经理,jīnglǐ,1,1,ผู้จัดการ
久,jiǔ,3,3,นาน
酒,jiǔ,3,3,เหล้า
旧,jiù,4,4,เก่า
句,jù,4,4,ประโยค(ลักษณนาม)
句子,jùzi,4,4,ประโยค
决定,juédìng,2,2,ตัดสินใจ
卡,kǎ,3,3,การ์ด/บัตร
开花,kāihuā,1,1,ดอกไม้บาน
开会,kāihuì,1,1,ประชุม
开机,kāijī,1,1,เปิดเครื่อง
开心,kāixīn,1,1,มีความสุข
看来,kànlái,4,4,ดูเหมือนว่า
可,kě,3,3,แต่
渴,kě,3,3,กระหายน้ำ
可爱,kě'ài,3,3,น่ารัก
可是,kěshì,3,3,แต่ว่า
刻,kè,4,4,15นาที
课本,kèběn,4,4,หนังสือเรียน
客人,kèrén,4,4,แขก
课文,kèwén,4,4,บทเรียน
空调,kōngtiáo,1,1,แอร์
哭,kū,1,1,ร้องไห้
筷子,kuàizi,4,4,ตะเกียบ
矿泉水,kuàngquánshuǐ,4,4,น้ำแร่
来自,láizì,2,2,มาจาก
蓝,lán,2,2,สีน้ำเงิน
老,lǎo,3,3,แก่
老人,lǎorén,3,3,คนแก่
离开,líkāi,2,2,จากไป
礼物,lǐwù,3,3,ของขวัญ
历史,lìshǐ,4,4,ประวัติศาสตร์
脸,liǎn,3,3,ใบหน้า
练,liàn,4,4,ฝึกฝน
练习,liànxí,4,4,แบบฝึกหัด/ฝึกฝน
凉快,liángkuai,2,2,เย็นสบาย
辆,liàng,4,4,คัน(ลักษณนามรถ)
聊,liáo,2,2,คุย
聊天儿,liáotiānr,2,2,พูดคุย
了解,liǎojiě,3,3,เข้าใจอย่างถ่องแท้
邻居,línjū,2,2,เพื่อนบ้าน
留学,liúxué,2,2,เรียนต่อต่างประเทศ
留学生,liúxuéshēng,2,2,นักเรียนต่างชาติ
楼梯,lóutī,2,2,บันได
路边,lùbiān,4,4,ริมถนน
路口,lùkǒu,4,4,ทางแยก
马,mǎ,3,3,ม้า
马路,mǎlù,3,3,ถนน
马上,mǎshàng,3,3,ทันที
满意,mǎnyì,3,3,พอใจ
毛,máo,2,2,เหมา(หน่วยเงิน)/ขน
米,mǐ,3,3,เมตร
面前,miànqián,4,4,ตรงหน้า
明白,míngbai,2,2,เข้าใจ
名单,míngdān,2,2,รายชื่อ
名人,míngrén,2,2,คนดัง
南,nán,2,2,ทิศใต้
难,nán,2,2,ยาก
南方,nánfāng,2,2,ภาคใต้
难过,nánguò,2,2,เสียใจ
难看,nánkàn,2,2,น่าเกลียด/ไม่น่าดู
男人,nánrén,2,2,ผู้ชาย
男生,nánshēng,2,2,นักเรียนชาย
难题,nántí,2,2,ปัญหาที่ยาก
难听,nántīng,2,2,ฟังไม่ไพเราะ
年级,niánjí,2,2,ชั้นปี
年轻,niánqīng,2,2,อายุน้อย/วัยรุ่น
牛,niú,2,2,วัว
努力,nǔlì,3,3,ขยัน
女人,nǚrén,3,3,ผู้หญิง
女生,nǚshēng,3,3,นักเรียนหญิง
爬,pá,2,2,ปีน
怕,pà,4,4,กลัว
拍照,pāizhào,1,1,ถ่ายรูป
盘子,pánzi,2,2,จาน
胖,pàng,4,4,อ้วน
啤酒,píjiǔ,2,2,เบียร์
平时,píngshí,2,2,ตามปกติ
瓶子,píngzi,2,2,ขวด
骑,qí,2,2,ขี่
奇怪,qíguài,2,2,แปลก
其实,qíshí,2,2,จริงๆแล้ว
其他,qítā,2,2,อื่นๆ
起,qǐ,3,3,ลุกขึ้น/การ(ลักษณนามคดี)
起飞,qǐfēi,3,3,บินขึ้น
汽车,qìchē,4,4,รถยนต์
铅笔,qiānbǐ,1,1,ดินสอ
前年,qiánnián,2,2,ปีก่อนหน้า
前天,qiántiān,2,2,เมื่อวานซืน
清楚,qīngchu,1,1,ชัดเจน
请假,qǐngjià,3,3,ลางาน/ลาหยุด
请客,qǐngkè,3,3,เลี้ยงแขก
秋天,qiūtiān,1,1,ฤดูใบไม้ร่วง
球场,qiúchǎng,2,2,สนามฟุตบอล
裙子,qúnzi,2,2,กระโปรง
然后,ránhòu,2,2,หลังจากนั้น
热情,rèqíng,4,4,อบอุ่น/กระตือรือร้น
认得,rènde,4,4,จำได้(คน)
认为,rènwéi,4,4,คิดว่า
认真,rènzhēn,4,4,จริงจัง
容易,róngyì,2,2,ง่าย
如果,rúguǒ,2,2,ถ้าหาก
伞,sǎn,3,3,ร่ม
扫,sǎo,3,3,กวาด
沙发,shāfā,1,1,โซฟา
山,shān,1,1,ภูเขา
上衣,shàngyī,4,4,เสื้อตัวบน
勺子,sháozi,2,2,ช้อน
身边,shēnbiān,1,1,ข้างกาย
身高,shēngāo,1,1,ส่วนสูง
声,shēng,1,1,เสียง
生活,shēnghuó,1,1,ชีวิตความเป็นอยู่
生气,shēngqì,1,1,โกรธ
声音,shēngyīn,1,1,เสียง
市,shì,4,4,เมือง/ตลาด
试,shì,4,4,ลอง
室,shì,4,4,ห้อง
世界,shìjiè,4,4,โลก
收,shōu,1,1,รับ/เก็บ
收到,shōudào,1,1,ได้รับ
受,shòu,4,4,ได้รับ(ผลกระทบ)
瘦,shòu,4,4,ผอม
受到,shòudào,4,4,ได้รับ(ผลกระทบ/การต้อนรับ)
叔叔,shūshu,1,1,อา(น้องชายพ่อ)
树,shù,4,4,ต้นไม้
数学,shùxué,4,4,คณิตศาสตร์
刷,shuā,1,1,แปรง/ปัด
双,shuāng,1,1,คู่
水平,shuǐpíng,3,3,ระดับ/มาตรฐาน
司机,sījī,1,1,คนขับรถ
四季,sìjì,4,4,สี่ฤดู
太阳,tàiyáng,4,4,พระอาทิตย์
糖,táng,2,2,ลูกอม/น้ำตาล
特别,tèbié,4,4,พิเศษ
提高,tígāo,2,2,ยกระดับ/เพิ่มขึ้น
体育,tǐyù,3,3,พลศึกษา/กีฬา
体育馆,tǐyùguǎn,3,3,โรงยิม
甜,tián,2,2,หวาน
跳,tiào,4,4,กระโดด
听说,tīngshuō,1,1,ได้ยินมาว่า
挺,tǐng,3,3,มาก/ค่อนข้าง
同事,tóngshì,2,2,เพื่อนร่วมงาน
同意,tóngyì,2,2,เห็นด้วย
头发,tóufa,2,2,เส้นผม
突然,tūrán,1,1,กะทันหัน
图书馆,túshūguǎn,2,2,ห้องสมุด
腿,tuǐ,3,3,ขา
外地,wàidì,4,4,ต่างถิ่น
外卖,wàimài,4,4,สั่งกลับบ้าน/เดลิเวอรี่
外语,wàiyǔ,4,4,ภาษาต่างประเทศ
完成,wánchéng,2,2,ทำเสร็จ
碗,wǎn,3,3,ชาม
晚点,wǎndiǎn,3,3,สาย/ล่าช้า(รถไฟ)
晚会,wǎnhuì,3,3,งานเลี้ยงตอนค่ำ
网球,wǎngqiú,3,3,เทนนิส
网站,wǎngzhàn,3,3,เว็บไซต์
忘记,wàngjì,4,4,ลืม
为,wèi,4,4,เพื่อ
为了,wèile,4,4,เพื่อที่จะ
卫生间,wèishēngjiān,4,4,ห้องน้ำ
文化,wénhuà,2,2,วัฒนธรรม
屋子,wūzi,1,1,ห้อง/บ้าน
西,xī,1,1,ทิศตะวันตก
西北,xīběi,1,1,ทิศตะวันตกเฉียงเหนือ
西方,xīfāng,1,1,ทิศตะวันตก(ประเทศตะวันตก)
西瓜,xīguā,1,1,แตงโม
西南,xīnán,1,1,ทิศตะวันตกเฉียงใต้
习惯,xíguàn,2,2,ความเคยชิน/ชิน
喜爱,xǐ'ài,3,3,ชื่นชอบ
洗衣机,xǐyījī,3,3,เครื่องซักผ้า
洗澡,xǐzǎo,3,3,อาบน้ำ
夏天,xiàtiān,4,4,ฤดูร้อน
先,xiān,1,1,ก่อน
香蕉,xiāngjiāo,1,1,กล้วย
相信,xiāngxìn,1,1,เชื่อว่า
箱子,xiāngzi,1,1,กล่อง/หีบ
向,xiàng,4,4,หันไปทาง
像,xiàng,4,4,เหมือน
相机,xiàngjī,4,4,กล้องถ่ายรูป
小区,xiǎoqū,3,3,หมู่บ้าน/เขตชุมชน
小心,xiǎoxīn,3,3,ระวัง
校园,xiàoyuán,4,4,บริเวณโรงเรียน
校长,xiàozhǎng,4,4,ครูใหญ่
鞋,xié,2,2,รองเท้า
心里,xīnlǐ,1,1,ในใจ
新年,xīnnián,1,1,ปีใหม่
新闻,xīnwén,1,1,ข่าว
新鲜,xīnxiān,1,1,สดใหม่
信,xìn,4,4,จดหมาย/เชื่อ
信用卡,xìnyòngkǎ,4,4,บัตรเครดิต
行,xíng,2,2,โอเค/เดิน
行李,xíngli,2,2,กระเป๋าเดินทาง
兴趣,xìngqù,4,4,ความสนใจ
休假,xiūjià,1,1,ลางานพักผ่อน
需要,xūyào,1,1,ต้องการ/จำเป็นต้อง
选,xuǎn,3,3,เลือก
选择,xuǎnzé,3,3,เลือก
学期,xuéqī,2,2,เทอม
牙,yá,2,2,ฟัน
牙刷,yáshuā,2,2,แปรงสีฟัน
羊,yáng,2,2,แกะ
养,yǎng,3,3,เลี้ยง
要求,yāoqiú,1,1,ความต้องการ/ขอร้อง
页,yè,4,4,หน้า(หนังสือ)
一定,yídìng,2,2,แน่นอน
一共,yígòng,2,2,ทั้งหมด
一块儿,yíkuàir,2,2,ด้วยกัน
一样,yíyàng,2,2,เหมือนกัน
以后,yǐhòu,3,3,หลังจากนี้
以前,yǐqián,3,3,เมื่อก่อน
以上,yǐshàng,3,3,ขึ้นไป/ข้างต้น
以外,yǐwài,3,3,นอกจาก
以为,yǐwéi,3,3,นึกว่า
以下,yǐxià,3,3,ด้านล่าง/ลงไป
一般,yìbān,4,4,ทั่วไป/ธรรมดา
一边,yìbiān,4,4,พลาง...พลาง
一直,yìzhí,4,4,มาโดยตลอด/ตรงไป
音乐,yīnyuè,1,1,ดนตรี
银行,yínháng,2,2,ธนาคาร
银行卡,yínhángkǎ,2,2,บัตรธนาคาร
饮料,yǐnliào,3,3,เครื่องดื่ม
应该,yīnggāi,1,1,ควรจะ
影响,yǐngxiǎng,3,3,ผลกระทบ/ส่งผล
用,yòng,4,4,ใช้
邮件,yóujiàn,2,2,อีเมล/จดหมาย
游客,yóukè,2,2,นักท่องเที่ยว
游戏,yóuxì,2,2,เกม
邮箱,yóuxiāng,2,2,ตู้ไปรษณีย์
有关,yǒuguān,3,3,เกี่ยวข้อง
有名,yǒumíng,3,3,มีชื่อเสียง
有用,yǒuyòng,3,3,มีประโยชน์
又,yòu,4,4,อีกแล้ว
羽毛球,yǔmáoqiú,3,3,แบดมินตัน
语言,yǔyán,3,3,ภาษา
雨衣,yǔyī,3,3,เสื้อกันฝน
遇到,yùdào,4,4,พบเจอ
遇见,yùjiàn,4,4,บังเอิญเจอ
园,yuán,2,2,สวน
员,yuán,2,2,พนักงาน/สมาชิก
愿意,yuànyì,4,4,ยินยอม/สมัครใจ
越,yuè,4,4,ยิ่ง
月亮,yuèliang,4,4,ดวงจันทร์
运动会,yùndònghuì,4,4,งานกีฬาสี
运动员,yùndòngyuán,4,4,นักกีฬา
咱们,zánmen,2,2,พวกเรา
脏,zāng,1,1,สกปรก
怎么办,zěnmebàn,3,3,ทำยังไงดี
怎样,zěnyàng,3,3,อย่างไร
站,zhàn,4,4,สถานี/ยืน
张,zhāng,1,1,แผ่น(ลักษณนาม)/เปิด
长,zhǎng,3,3,เติบโต
着急,zháojí,2,2,รีบร้อน/กังวลใจ
照,zhào,4,4,ส่อง/ถ่ายรูป
照顾,zhàogù,4,4,ดูแล
照片,zhàopiàn,4,4,รูปถ่าย
照相,zhàoxiàng,4,4,ถ่ายรูป
直到,zhídào,2,2,จนกระทั่ง
只,zhǐ,3,3,เพียงแค่
纸,zhǐ,3,3,กระดาษ
只能,zhǐnéng,3,3,ทำได้เพียง
只是,zhǐshì,3,3,เพียงแต่
只要,zhǐyào,3,3,ขอเพียงแค่
只有,zhǐyǒu,3,3,มีเพียง
中,zhōng,1,1,กลาง
中间,zhōngjiān,1,1,ตรงกลาง
终于,zhōngyú,1,1,ในที่สุดก็
种,zhǒng,3,3,ชนิด/ประเภท
重要,zhòngyào,4,4,สำคัญ
周末,zhōumò,1,1,วันหยุดสุดสัปดาห์
主要,zhǔyào,3,3,หลักๆ
注意,zhùyì,4,4,ระวัง/ใส่ใจ
住院,zhùyuàn,4,4,เข้าโรงพยาบาล
字典,zìdiǎn,4,4,พจนานุกรม
自行车,zìxíngchē,4,4,จักรยาน
子,zi,5,5,คำเสริมท้าย
总,zǒng,3,3,รวม/เสมอ
总是,zǒngshì,3,3,มักจะ
嘴,zuǐ,3,3,ปาก
最好,zuìhǎo,4,4,ดีที่สุด
最后,zuìhòu,4,4,สุดท้าย
最近,zuìjìn,4,4,ช่วงนี้
做客,zuòkè,4,4,เป็นแขก
作业,zuòyè,4,4,การบ้าน
